Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Futurist Sentinel,U,C,142490,7.79,13844,11.72,9385,49.4%,1759,45.4%,3285,50.9%,5044,49.0%,4718,49.9%,-0.9pp
Reito Sentinel,,U,59248,7.16,6093,10.92,3547,50.1%,665,46.6%,1166,50.2%,1831,48.9%,1836,50.9%,-2.0pp
Discover the Impossible,U,U,60453,7.91,6533,11.72,1226,50.2%,219,47.0%,390,49.7%,609,48.8%,643,51.0%,-2.2pp
Eiganjo Uprising,WR,R,13831,4.38,2189,6.05,3897,50.0%,640,44.8%,992,51.2%,1632,48.7%,2286,50.7%,-2.0pp
Enormous Energy Blade,B,U,57983,7.27,6175,11.03,3220,51.6%,502,47.6%,933,48.9%,1435,48.4%,1809,53.9%,-5.5pp
Mech Hangar,,U,57934,7.15,5828,10.88,5678,49.6%,1042,47.4%,1695,49.0%,2737,48.4%,3070,50.8%,-2.4pp
Bronze Cudgels,,U,60777,7.72,6296,11.56,2171,48.7%,362,42.8%,548,48.7%,910,46.4%,1266,50.6%,-4.2pp
"Isshin, Two Heavens as One",WBR,R,10938,3.52,1815,4.54,2597,45.7%,423,47.5%,685,45.5%,1108,46.3%,1531,45.1%,1.2pp
Anchor to Reality,U,U,58299,7.61,6595,11.22,2436,47.2%,444,44.6%,777,47.1%,1221,46.2%,1262,47.8%,-1.6pp
Reckoner Shakedown,B,C,148005,8.71,14853,12.75,2195,48.3%,356,46.9%,618,45.0%,974,45.7%,1244,50.2%,-4.5pp
Invoke Calamity,R,R,15891,4.85,2155,7.18,614,,99,,177,,276,44.9%,342,49.4%,-4.5pp
Akki War Paint,R,C,148237,9.09,14534,13.15,2769,48.8%,481,45.1%,798,44.5%,1279,44.7%,1555,51.8%,-7.0pp
Hidetsugu Consumes All,BR,M,4100,2.78,883,3.17,1345,48.9%,215,44.2%,322,45.0%,537,44.7%,816,51.5%,-6.8pp
Mirror Box,,R,15500,4.74,1816,7.53,326,,52,,93,,145,,184,,
March of Burgeoning Life,G,R,17509,5.34,2175,8.15,218,,35,,55,,90,,128,,
