Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Dokuchi Silencer,B,U,32932,3.49,7405,4.45,30969,54.9%,6086,54.2%,10573,56.0%,16659,55.3%,16403,55.1%,0.3pp
Containment Construct,,U,48193,4.90,10023,6.46,29849,54.8%,6080,53.8%,11386,56.0%,17466,55.3%,14798,54.5%,0.8pp
Kami of Restless Shadows,B,C,142424,7.53,17606,10.84,20322,55.1%,3433,52.4%,7383,56.5%,10816,55.2%,10766,55.7%,-0.5pp
Hotshot Mechanic,W,U,45541,5.09,5475,7.46,13750,54.3%,2934,57.1%,4830,54.0%,7764,55.2%,7083,53.6%,1.5pp
Essence Capture,U,U,52098,6.17,6580,9.03,11711,53.9%,2148,53.2%,3926,56.2%,6074,55.2%,5909,52.8%,2.3pp
Sunblade Samurai,W,C,113026,4.76,19386,6.66,74186,54.8%,15902,52.7%,28336,56.5%,44238,55.1%,36734,54.4%,0.7pp
Disruption Protocol,U,C,142107,7.69,16500,11.17,18618,54.0%,3387,52.0%,6762,56.6%,10149,55.1%,9178,52.8%,2.2pp
You Are Already Dead,B,C,134691,6.71,16383,9.94,31068,55.3%,5461,54.2%,9606,55.4%,15067,55.0%,16853,55.6%,-0.6pp
Thirst for Knowledge,U,U,43894,4.78,8693,6.29,29821,54.2%,5587,51.3%,9969,57.1%,15556,55.0%,15136,53.4%,1.6pp
Reinforced Ronin,R,U,39887,4.30,6957,5.73,26681,53.8%,5324,52.5%,28192,55.4%,33516,55.0%,14350,54.6%,0.4pp
Careful Cultivation,G,C,131421,6.28,22411,8.58,59994,55.3%,13213,55.0%,22688,54.9%,35901,55.0%,29979,55.4%,-0.5pp
Blade-Blizzard Kitsune,W,U,34148,3.60,6334,4.73,24441,54.3%,4774,54.5%,7994,55.1%,12768,54.9%,13097,53.5%,1.4pp
Simian Sling,R,C,129167,6.14,20219,8.36,60366,54.5%,14289,55.4%,21059,54.5%,35348,54.9%,30662,54.6%,0.3pp
Debt to the Kami,B,C,134603,6.86,12938,10.69,14033,54.3%,2575,53.7%,4377,55.4%,6952,54.8%,7474,53.9%,0.8pp
Uncharted Haven,,C,126263,5.29,27466,7.31,115009,55.6%,26198,55.8%,38079,54.0%,64277,54.8%,57109,56.2%,-1.5pp
