Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Walking Skyscraper,,U,37846,01/04/56,5664,01/06/37,17136,52.8%,2802,49.0%,5324,55.4%,8126,53.2%,9448,52.6%,0.5pp
Iron Apprentice,,C,114264,01/05/79,15013,01/08/46,43033,54.3%,9523,56.1%,15089,55.3%,24612,55.6%,22432,53.7%,1.9pp
Papercraft Decoy,,C,121566,01/06/51,17783,01/09/34,43943,54.5%,9337,52.4%,15542,55.3%,24879,54.2%,22840,55.0%,-0.8pp
Debt to the Kami,B,C,116405,01/06/81,11111,01/10/63,12125,54.0%,2239,53.1%,3782,55.3%,6021,54.5%,6443,53.7%,0.8pp
Sokenzan Smelter,R,U,36207,01/04/55,7918,01/05/70,28489,55.6%,6051,58.2%,8873,55.3%,14924,56.5%,15147,54.9%,1.5pp
Rabbit Battery,R,U,29857,01/03/61,7696,01/04/46,33711,55.1%,6821,58.1%,10112,55.3%,16933,56.4%,18489,54.3%,2.1pp
Kumano Faces Kakkazan,R,U,49124,01/04/44,9954,01/05/72,35936,56.3%,7871,65.1%,11249,55.3%,19120,59.3%,19193,53.9%,5.4pp
Moonsnare Prototype,U,C,125615,08/03/22,16790,01/11/21,15767,52.5%,3030,49.6%,5773,55.3%,8803,53.3%,7715,52.1%,1.2pp
Okiba Salvage,B,U,45018,01/05/97,5530,01/08/96,8554,53.3%,1364,47.5%,2686,55.2%,4050,52.6%,4627,54.0%,-1.4pp
Patchwork Automaton,,U,25938,03/03/22,6738,01/03/70,30139,55.3%,6335,62.7%,9759,55.2%,16094,58.2%,15659,52.7%,5.5pp
Ogre-Head Helm,R,R,5279,01/01/92,2618,01/01/93,12768,54.8%,2351,57.1%,3444,55.2%,5795,56.0%,7259,53.7%,2.2pp
Kaito's Pursuit,B,C,126457,01/08/23,13993,12/01/22,7931,54.8%,1446,52.7%,2414,55.0%,3860,54.1%,4203,55.2%,-1.0pp
Reckoner's Bargain,B,C,124322,01/07/70,15038,01/11/19,17951,54.5%,3066,49.8%,5195,55.0%,8261,53.1%,10021,55.4%,-2.4pp
Blade-Blizzard Kitsune,W,U,29365,01/03/56,5614,01/04/65,21677,54.2%,4233,54.5%,7061,55.0%,11294,54.8%,11621,53.3%,1.5pp
Careful Cultivation,G,C,114124,01/06/30,19577,01/08/58,51911,55.5%,11513,54.9%,19724,54.9%,31237,54.9%,25863,55.7%,-0.8pp
Covert Technician,U,U,36157,01/04/47,5886,06/09/22,20932,53.6%,4021,53.5%,7761,54.9%,11782,54.4%,10708,53.1%,1.3pp
Flame Discharge,R,U,26487,01/03/25,7082,01/03/97,30611,54.3%,5882,53.5%,8627,54.9%,14509,54.3%,16914,54.2%,0.1pp
Network Terminal,,C,121751,01/06/90,16054,01/09/96,29686,53.1%,5703,53.2%,9143,54.8%,14846,54.2%,15520,52.2%,2.0pp
"Sokenzan, Crucible of Defiance",R,R,8507,01/02/95,2246,01/03/49,9544,55.2%,1704,54.5%,2380,54.7%,4084,54.6%,5512,55.7%,-1.1pp
"Nashi, Moon Sage's Scion",B,M,1753,01/01/35,1256,01/01/36,6013,54.4%,1048,53.2%,1839,54.6%,2887,54.1%,3322,54.8%,-0.7pp
Short Circuit,U,C,127780,01/08/61,14465,01/12/31,7175,53.2%,1358,53.0%,2641,54.6%,3999,54.1%,3543,52.2%,1.9pp
Webspinner Cuff,G,U,40453,01/04/95,7234,01/06/73,26045,54.7%,4786,51.9%,8431,54.5%,13217,53.6%,14197,55.1%,-1.5pp
Scoured Barrens,WB,B,43827,01/06/64,7597,01/09/16,23904,55.6%,4595,57.1%,6628,54.5%,11223,55.6%,12956,55.7%,-0.1pp
Regent's Authority,W,C,125905,01/07/79,13229,01/11/42,11794,54.4%,2013,54.3%,3436,54.5%,5449,54.4%,6538,54.3%,0.1pp
Bronzeplate Boar,R,U,33006,01/03/95,6773,01/05/14,29194,54.6%,5770,53.6%,8675,54.4%,14445,54.1%,16015,54.7%,-0.6pp
Storyweave,G,U,45772,01/06/15,5440,01/09/23,8457,53.0%,1486,49.8%,2385,54.4%,3871,52.6%,4705,53.3%,-0.7pp
Simian Sling,R,C,112225,01/06/14,17826,01/08/35,53166,54.5%,12549,55.3%,18578,54.4%,31127,54.8%,27008,54.5%,0.3pp
The Dragon-Kami Reborn,G,R,9515,01/03/64,1636,01/04/63,3124,52.2%,568,49.3%,1011,54.4%,1579,52.6%,1714,52.2%,0.4pp
Spirit-Sister's Call,WB,M,3437,01/02/66,1022,01/02/91,2877,51.8%,445,47.4%,881,54.4%,1326,52.0%,1569,51.4%,0.6pp
Hotshot Mechanic,W,U,39049,05/03/22,4792,01/07/33,12255,54.4%,2604,57.1%,4286,54.4%,6890,55.4%,6337,53.6%,1.8pp
Runaway Trash-Bot,,U,39501,01/04/54,6853,01/06/34,25376,53.4%,4925,49.2%,8852,54.3%,13777,52.5%,13218,54.1%,-1.6pp
Unforgiving One,B,U,39490,01/04/98,5333,01/07/27,13208,54.1%,2516,51.0%,4464,54.3%,6980,53.1%,7148,54.8%,-1.6pp
Explosive Singularity,R,M,3044,01/02/38,1282,01/02/43,5136,53.2%,768,52.2%,1333,54.3%,2101,53.5%,3040,53.0%,0.6pp
Uncharted Haven,,C,110127,01/05/34,23557,01/07/39,98010,55.7%,22280,55.9%,32244,54.2%,54524,54.9%,48821,56.4%,-1.5pp
"Hinata, Dawn-Crowned",WUR,R,8149,03/09/22,1715,01/03/56,3190,50.5%,565,53.5%,1103,54.1%,1668,53.9%,1665,47.3%,6.6pp
Lucky Offering,W,C,125889,01/08/19,11468,01/12/32,3634,51.5%,618,50.2%,1018,54.0%,1636,52.6%,2036,50.5%,2.1pp
Acquisition Octopus,U,U,28611,01/03/49,6326,01/04/40,26571,53.2%,4952,52.4%,9333,54.0%,14285,53.5%,13486,53.0%,0.5pp
Unstoppable Ogre,R,C,122623,01/07/35,16003,01/10/35,33894,54.7%,7520,53.6%,10929,53.9%,18449,53.8%,17716,55.5%,-1.7pp
Towashi Songshaper,R,C,116788,01/06/76,18141,09/11/22,45802,55.1%,12148,56.2%,18098,53.9%,30246,54.8%,21710,55.4%,-0.6pp
Imperial Recovery Unit,W,U,32285,04/05/22,4566,01/05/61,15030,53.5%,2702,52.9%,4450,53.8%,7152,53.4%,8259,53.6%,-0.2pp
Brute Suit,,C,119863,01/06/59,13320,01/09/85,24666,54.1%,4680,54.4%,7430,53.7%,12110,54.0%,13364,54.3%,-0.3pp
"Satsuki, the Living Lore",WG,R,8299,01/03/14,1943,01/03/67,5811,53.4%,1044,49.7%,1701,53.7%,2745,52.2%,3233,53.9%,-1.7pp
Kami of Industry,R,C,126864,01/08/25,15712,01/11/60,16762,53.6%,3057,51.2%,5230,53.7%,8287,52.8%,9163,54.1%,-1.3pp
Roaring Earth,G,U,26021,01/03/27,6663,01/03/91,28453,54.2%,5651,54.2%,9331,53.6%,14982,53.8%,15008,54.4%,-0.5pp
Chainflail Centipede,B,C,115030,01/06/16,15397,01/08/98,40503,54.5%,8046,52.7%,13453,53.4%,21499,53.2%,21442,55.5%,-2.3pp
Invigorating Hot Spring,RG,U,39535,01/05/34,6914,01/06/99,15264,53.0%,3141,53.1%,5047,53.4%,8188,53.3%,8036,52.5%,0.8pp
"Heiko Yamazaki, the General",R,U,30901,01/03/83,6015,01/04/94,24241,52.9%,4323,50.1%,7005,53.4%,11328,52.1%,13650,53.3%,-1.1pp
Scrap Welder,R,R,8899,01/03/21,2303,01/03/68,8598,54.5%,1465,54.5%,2339,53.3%,3804,53.8%,5000,54.6%,-0.8pp
"Risona, Asari Commander",WR,R,7284,01/02/80,1739,03/10/22,5367,51.7%,997,54.3%,1454,53.2%,2451,53.7%,3040,50.3%,3.3pp
Undercity Scrounger,B,C,115837,01/06/35,18615,01/08/87,46880,54.3%,9888,52.4%,17469,53.2%,27357,52.9%,23892,55.5%,-2.6pp
Eiganjo Exemplar,W,C,101671,01/05/17,14668,01/07/29,42244,53.6%,11014,54.3%,16414,53.0%,27428,53.5%,20126,53.8%,-0.3pp
Explosive Entry,R,C,123391,01/07/70,13729,01/11/18,15929,52.8%,2788,53.2%,4249,53.0%,7037,53.0%,9116,52.5%,0.5pp
Futurist Operative,U,U,43761,01/05/80,5271,01/08/57,9202,51.9%,1626,50.6%,3795,53.0%,5421,52.2%,4750,51.4%,0.9pp
Scrapyard Steelbreaker,R,C,121100,01/07/28,17843,01/10/00,38663,53.6%,7985,51.8%,13447,52.9%,21432,52.4%,20146,54.4%,-1.9pp
March of Reckless Joy,R,R,12126,01/04/29,2103,01/05/72,4639,53.0%,772,46.6%,1185,52.8%,1957,50.4%,2697,54.9%,-4.5pp
Rugged Highlands,RG,B,45907,01/07/70,7916,01/10/49,16729,53.4%,3284,55.6%,4281,52.8%,7565,54.0%,9362,52.9%,1.1pp
Guardians of Oboro,U,C,127311,01/08/25,14753,01/11/83,10957,52.0%,2375,49.1%,4306,52.8%,6681,51.5%,5185,51.9%,-0.4pp
Seven-Tail Mentor,W,C,112133,01/06/00,11501,09/10/22,24802,52.4%,4923,51.9%,8190,52.7%,13113,52.4%,13110,52.3%,0.1pp
Light the Way,W,C,126638,01/08/00,12239,01/11/96,7804,52.4%,1294,50.2%,2235,52.7%,3529,51.8%,4363,52.8%,-1.1pp
Dragonfly Suit,W,C,115603,01/06/55,11306,01/09/92,18898,52.2%,3656,50.7%,6370,52.7%,10026,51.9%,9941,52.4%,-0.5pp
Coiling Stalker,G,C,111230,01/06/13,15284,01/08/84,37005,53.9%,8389,53.3%,12958,52.6%,21347,52.9%,19002,54.8%,-1.9pp
The Shattered States Era,R,C,135894,01/07/87,13589,01/11/62,9929,52.4%,1620,49.6%,2758,52.5%,4378,51.4%,5737,53.2%,-1.8pp
Tempered in Solitude,R,U,41440,01/05/48,6477,01/07/47,16646,53.5%,3081,53.0%,4409,52.4%,7490,52.6%,9446,54.4%,-1.7pp
Kitsune Ace,W,C,117850,01/06/95,11788,01/10/38,14958,51.6%,3557,51.2%,5565,52.4%,9122,51.9%,7433,51.6%,0.3pp
Go-Shintai of Ancient Wars,R,U,32167,01/03/99,6537,01/05/18,22381,52.7%,4110,50.9%,6836,52.3%,10946,51.8%,12355,53.2%,-1.4pp
Orochi Merge-Keeper,G,U,35419,01/04/32,6970,01/05/67,26518,54.2%,5313,54.0%,8141,52.3%,13454,53.0%,14443,55.0%,-2.0pp
Automated Artificer,,C,124927,01/07/52,14102,01/10/91,18669,51.9%,3922,49.8%,6757,52.3%,10679,51.4%,9449,52.6%,-1.2pp
Swiftwater Cliffs,UR,B,45653,01/07/55,7944,01/10/24,18424,53.6%,3671,56.1%,5446,52.1%,9117,53.7%,9594,53.7%,0.0pp
Mechtitan Core,,R,5732,01/02/14,1877,02/11/22,7239,50.3%,1231,46.1%,2164,52.0%,3395,49.9%,3943,50.7%,-0.8pp
Akki Ember-Keeper,R,C,121043,01/07/26,15337,01/10/22,27163,54.0%,6639,53.5%,9154,52.0%,15793,52.6%,13891,55.1%,-2.5pp
Awakened Awareness,U,U,49038,01/06/86,5447,01/10/29,3894,49.7%,659,47.3%,1279,51.9%,1938,50.4%,2054,49.4%,1.0pp
Imperial Subduer,W,C,111927,01/06/14,12378,09/03/22,26207,52.1%,6322,50.3%,9651,51.9%,15973,51.3%,12857,52.6%,-1.3pp
Malicious Malfunction,B,U,41477,01/05/44,4900,08/09/22,7048,51.4%,1364,48.5%,2134,51.9%,3498,50.5%,3689,52.2%,-1.7pp
Upriser Renegade,R,U,41879,01/05/52,5625,01/07/80,14288,53.7%,3090,53.9%,4274,51.8%,7364,52.7%,7854,54.3%,-1.6pp
Bloodfell Caves,BR,B,44466,01/06/99,7814,01/09/66,22535,54.6%,4271,56.1%,5955,51.7%,10226,53.5%,12544,55.5%,-1.9pp
Futurist Sentinel,U,C,123242,01/07/74,12020,01/11/64,8611,49.6%,1629,45.7%,2998,51.6%,4627,49.6%,4331,49.7%,-0.2pp
Wind-Scarred Crag,WR,B,44661,07/03/22,6695,01/09/91,17127,53.5%,3334,54.8%,4489,51.6%,7823,53.0%,9482,53.9%,-1.0pp
Peerless Samurai,R,C,118091,01/07/00,13246,01/10/20,24238,52.5%,5460,52.8%,8248,51.6%,13708,52.1%,12652,52.7%,-0.7pp
Crackling Emergence,R,C,126194,01/08/58,12507,01/12/49,5333,52.5%,1186,50.5%,1493,51.6%,2679,51.1%,2858,53.4%,-2.3pp
Asari Captain,WR,U,39449,01/05/29,5050,01/07/58,11652,51.8%,2378,51.1%,3816,51.5%,6194,51.4%,6109,52.1%,-0.8pp
Eiganjo Uprising,WR,R,11764,01/04/33,1891,01/05/96,3488,50.1%,566,44.3%,885,51.3%,1451,48.6%,2056,51.1%,-2.5pp
Reito Sentinel,,U,51168,01/07/13,5248,01/10/89,3040,50.7%,566,47.2%,1003,51.2%,1569,49.8%,1571,51.1%,-1.3pp
Heir of the Ancient Fang,G,C,122857,01/07/43,14710,01/10/79,19476,53.2%,4256,50.1%,6616,50.9%,10872,50.6%,10206,55.1%,-4.5pp
Thundersteel Colossus,,C,120386,01/06/99,11606,01/10/66,13894,50.3%,2138,47.3%,4208,50.8%,6346,49.6%,7739,51.0%,-1.4pp
Dragonspark Reactor,R,U,36890,01/04/73,7765,01/05/88,25006,52.6%,5569,48.4%,8055,50.6%,13624,49.7%,12722,55.4%,-5.6pp
Reality Heist,U,U,49330,07/10/22,6418,01/10/19,7011,50.9%,1215,46.1%,2281,50.4%,3496,48.9%,3661,52.3%,-3.4pp
Gift of Wrath,R,C,126447,01/08/40,12919,01/12/20,7010,52.0%,1167,50.6%,1923,50.4%,3090,50.5%,4025,53.2%,-2.7pp
Akki Ronin,R,C,124801,01/07/97,14153,01/11/39,17863,52.5%,3983,53.2%,5623,50.4%,9606,51.6%,9591,52.9%,-1.4pp
Ancestral Katana,W,C,118626,01/06/90,12718,10/08/22,19952,51.8%,4029,51.5%,5855,50.3%,9884,50.8%,10738,52.4%,-1.7pp
"Light-Paws, Emperor's Voice",W,R,8855,01/03/26,1396,01/04/21,1918,52.5%,328,50.0%,577,50.1%,905,50.1%,1080,54.2%,-4.1pp
Discover the Impossible,U,U,52220,01/07/87,5622,01/11/66,1135,49.5%,199,,364,49.7%,563,48.8%,595,49.7%,-0.9pp
Dramatist's Puppet,,C,129766,01/08/66,13720,01/12/45,2676,49.5%,469,49.9%,819,49.7%,1288,49.8%,1487,49.4%,0.3pp
Ambitious Assault,R,C,128716,01/08/73,14484,01/12/34,9278,52.4%,1509,50.6%,2441,49.7%,3950,50.0%,5444,53.9%,-3.9pp
Spell Pierce,U,C,126948,01/08/68,12301,01/12/84,3112,50.8%,567,50.1%,911,49.2%,1478,49.5%,1678,52.2%,-2.7pp
Mech Hangar,,U,50179,07/10/22,5048,01/10/80,5104,49.4%,933,46.3%,1533,48.8%,2466,47.9%,2756,50.9%,-3.0pp
Enormous Energy Blade,B,U,50104,01/07/24,5339,01/10/98,2926,51.2%,454,47.1%,839,48.4%,1293,48.0%,1656,53.6%,-5.6pp
Bronze Cudgels,,U,52594,01/07/69,5430,01/11/51,1958,48.9%,337,43.0%,487,48.0%,824,46.0%,1139,51.1%,-5.1pp
Secluded Courtyard,,U,51381,01/07/27,5543,01/10/96,4787,49.8%,877,48.9%,1268,47.9%,2145,48.3%,2696,50.9%,-2.6pp
Kindled Fury,R,C,129290,09/10/22,14648,01/12/78,5696,52.0%,962,50.2%,1439,47.3%,2401,48.5%,3370,54.3%,-5.8pp
Anchor to Reality,U,U,50425,01/07/57,5667,01/11/16,2192,46.9%,393,43.5%,687,46.7%,1080,45.6%,1148,47.7%,-2.2pp
Hidetsugu Consumes All,BR,M,3510,01/02/73,771,03/08/22,1197,49.1%,190,,280,46.1%,470,45.5%,734,51.2%,-5.7pp
"Isshin, Two Heavens as One",WBR,R,9263,01/03/46,1568,01/04/45,2316,45.6%,371,46.6%,597,45.4%,968,45.9%,1381,45.3%,0.5pp
Reckoner Shakedown,B,C,128168,01/08/67,12780,01/12/71,2019,48.9%,326,47.9%,567,45.1%,893,46.1%,1147,50.9%,-4.8pp
Akki War Paint,R,C,128616,09/06/22,12630,13.13,2481,48.5%,435,45.1%,692,44.1%,1127,44.5%,1409,51.4%,-6.9pp
Mirror Box,,R,13255,01/04/68,1536,01/07/39,295,,48,,85,,133,,165,,
March of Burgeoning Life,G,R,14952,01/05/27,1871,08/03/22,207,,33,,52,,85,,122,,
Invoke Calamity,R,R,13478,01/04/75,1799,01/07/00,541,,84,,158,,242,43.4%,301,50.2%,-6.8pp
