Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Network Terminal,,C,149145,6.83,20283,9.82,44142,53.0%,7870,52.9%,11983,55.2%,19853,54.3%,24374,52.0%,2.2pp
Flame Discharge,R,U,32843,3.28,8276,4.04,40278,54.2%,6868,53.4%,9772,54.9%,16640,54.3%,23713,54.1%,0.2pp
Armguard Familiar,U,C,137101,5.94,20205,8.46,72343,53.8%,12885,52.4%,20973,55.4%,33858,54.2%,38866,53.3%,0.9pp
Brute Suit,,C,147527,6.64,16631,9.91,33791,54.4%,5798,54.0%,8536,54.3%,14334,54.2%,19537,54.5%,-0.3pp
Bronzeplate Boar,R,U,40787,3.98,8000,5.21,38775,54.4%,6761,53.6%,9334,54.6%,16095,54.2%,22791,54.6%,-0.4pp
"Nashi, Moon Sage's Scion",B,M,2205,1.35,1575,1.34,7676,54.2%,1323,53.5%,2064,54.6%,3387,54.2%,4310,54.2%,0.0pp
Ecologist's Terrarium,,C,135364,5.40,21081,7.80,69401,53.7%,12811,52.7%,18046,55.2%,30857,54.2%,38711,53.3%,0.8pp
Mnemonic Sphere,U,C,146815,6.81,20447,9.75,48626,53.6%,8602,51.7%,14211,55.6%,22813,54.2%,25986,53.1%,1.0pp
Scrap Welder,R,R,11210,3.29,2744,3.80,10469,54.5%,1757,53.8%,2518,54.3%,4275,54.1%,6223,54.8%,-0.7pp
"Sokenzan, Crucible of Defiance",R,R,10769,3.01,2687,3.59,11510,54.8%,2025,54.2%,2719,53.9%,4744,54.0%,6776,55.3%,-1.3pp
Saiba Trespassers,U,C,152880,7.64,19309,10.95,27312,53.1%,4256,50.2%,8124,56.0%,12380,54.0%,15026,52.3%,1.7pp
Covert Technician,U,U,44728,4.52,7210,6.23,27927,53.4%,4863,53.2%,7939,54.3%,12802,53.9%,15255,52.9%,1.0pp
Short Circuit,U,C,157377,8.65,17817,12.36,9462,53.2%,1553,52.1%,2828,54.8%,4381,53.9%,5107,52.6%,1.2pp
Papercraft Decoy,,C,148912,6.49,21865,9.33,63359,54.6%,11740,52.6%,16387,54.8%,28127,53.9%,35574,55.2%,-1.4pp
Bloodfell Caves,BR,B,54231,6.91,9549,9.56,29286,54.7%,5343,55.9%,7127,52.3%,12470,53.8%,16849,55.3%,-1.5pp
Unstoppable Ogre,R,C,150250,7.33,19391,10.33,53851,54.8%,9266,53.3%,12566,54.2%,21832,53.8%,32204,55.5%,-1.6pp
Befriending the Moths,W,C,128501,4.79,19260,6.76,75112,53.4%,12160,50.3%,20629,55.9%,32789,53.8%,42599,53.2%,0.6pp
Planar Incision,U,C,156083,8.33,17855,12.00,12407,52.2%,1980,50.8%,3622,55.4%,5602,53.8%,6826,50.9%,2.9pp
When We Were Young,W,U,60455,6.70,6201,10.30,5671,52.1%,845,49.3%,1488,56.2%,2333,53.7%,3338,51.0%,2.7pp
"Risona, Asari Commander",WR,R,9224,2.90,2045,3.29,6488,51.7%,1157,53.9%,1566,53.5%,2723,53.7%,3781,50.4%,3.3pp
Rugged Highlands,RG,B,56315,7.61,9695,10.38,21701,53.2%,4035,55.1%,5193,52.6%,9228,53.7%,12501,52.7%,0.9pp
Roaring Earth,G,U,31750,3.27,7889,3.94,37862,53.8%,6702,53.8%,9936,53.4%,16638,53.5%,21329,54.0%,-0.5pp
Moonsnare Prototype,U,C,154552,8.07,20390,11.30,20949,52.6%,3476,49.9%,6235,55.6%,9711,53.5%,11331,51.9%,1.7pp
Swiftwater Cliffs,UR,B,55772,7.47,9796,10.12,24250,53.3%,4523,55.7%,6600,52.0%,11123,53.5%,13168,53.2%,0.3pp
Invigorating Hot Spring,RG,U,48366,5.33,8212,7.06,22431,53.2%,3722,53.1%,5459,53.7%,9181,53.5%,13310,52.9%,0.5pp
Acquisition Octopus,U,U,35401,3.52,7613,4.46,34642,52.8%,5951,52.6%,10088,53.9%,16039,53.4%,18738,52.3%,1.2pp
Walking Skyscraper,,U,46724,4.59,6850,6.49,21791,52.5%,3308,49.1%,5761,55.9%,9069,53.4%,12768,51.9%,1.5pp
Unforgiving One,B,U,49042,5.06,6553,7.45,17374,53.9%,2978,51.6%,4367,54.5%,7345,53.3%,10104,54.4%,-1.0pp
Eiganjo Exemplar,W,C,125123,5.20,17479,7.41,69680,53.3%,12801,54.1%,17462,52.7%,30263,53.3%,39838,53.3%,-0.0pp
Reckoner's Bargain,B,C,152910,7.75,18437,11.28,22450,54.3%,3590,50.2%,5784,55.2%,9374,53.3%,13114,54.9%,-1.7pp
Kami of Industry,R,C,155685,8.28,18984,11.66,22593,53.4%,3569,51.0%,5629,54.7%,9198,53.3%,13484,53.5%,-0.3pp
Chainflail Centipede,B,C,141415,6.16,18936,9.00,58040,54.2%,9907,52.7%,14701,53.6%,24608,53.2%,33625,55.0%,-1.8pp
Imperial Recovery Unit,W,U,40285,4.11,5568,5.74,19387,53.6%,3190,52.7%,4975,53.5%,8165,53.2%,11248,53.9%,-0.7pp
Wind-Scarred Crag,WR,B,54789,6.96,8218,9.85,22041,53.3%,4070,54.5%,5437,52.1%,9507,53.2%,12555,53.5%,-0.3pp
Upriser Renegade,R,U,51821,5.57,6719,7.90,19958,53.8%,3589,54.4%,4475,51.9%,8064,53.0%,11961,54.3%,-1.2pp
Explosive Singularity,R,M,3834,2.41,1541,2.49,6014,52.7%,913,51.0%,1463,54.3%,2376,53.0%,3643,52.5%,0.5pp
The Dragon-Kami Reborn,G,R,11960,3.71,2012,4.85,3861,52.3%,685,50.1%,1011,54.9%,1696,52.9%,2178,52.0%,1.0pp
Explosive Entry,R,C,152149,7.77,16436,11.32,19171,52.7%,3135,53.0%,4526,52.9%,7661,52.9%,11525,52.5%,0.4pp
Reinforced Ronin,R,U,42482,4.30,7320,5.73,31864,53.7%,5609,52.2%,8795,53.3%,14404,52.9%,18826,54.5%,-1.6pp
Storyweave,G,U,56369,6.18,6639,9.31,10621,53.1%,1752,50.6%,2660,54.3%,4412,52.8%,6215,53.2%,-0.4pp
Mobilizer Mech,U,U,45248,4.82,5373,7.00,12998,50.5%,2261,51.0%,3566,53.9%,5827,52.8%,7216,48.6%,4.1pp
Undercity Scrounger,B,C,142236,6.35,22636,8.91,69413,53.8%,12032,51.9%,18120,53.3%,30152,52.8%,39628,54.6%,-1.8pp
Scrapyard Steelbreaker,R,C,148903,7.30,21279,10.08,56299,53.5%,9233,51.8%,13864,53.4%,23097,52.7%,33439,54.0%,-1.2pp
Futurist Operative,U,U,54237,5.85,6479,8.67,11934,52.2%,1953,49.8%,3453,54.3%,5406,52.7%,6615,51.7%,1.0pp
Lucky Offering,W,C,154974,8.23,14030,12.37,4419,51.0%,735,50.6%,1152,54.0%,1887,52.7%,2539,49.8%,2.9pp
Seven-Tail Mentor,W,C,138344,6.04,13905,9.20,34750,52.1%,5725,51.8%,8781,53.1%,14506,52.6%,20357,51.7%,0.9pp
Orochi Merge-Keeper,G,U,43880,4.36,8331,5.76,34572,53.5%,6256,53.5%,8532,51.9%,14788,52.6%,19877,54.2%,-1.6pp
Coiling Stalker,G,C,137263,6.14,18536,8.92,55034,53.6%,9956,53.2%,13505,52.0%,23461,52.5%,31794,54.4%,-1.9pp
Tempered in Solitude,R,U,51286,5.52,7786,7.60,21258,53.3%,3637,52.7%,5004,52.4%,8641,52.5%,12649,53.9%,-1.4pp
Runaway Trash-Bot,,U,48686,4.55,8362,6.41,34832,52.9%,5985,49.3%,9397,54.5%,15382,52.5%,19599,53.3%,-0.8pp
Akki Ember-Keeper,R,C,148616,7.31,18323,10.34,42023,53.9%,7706,53.5%,9700,51.6%,17406,52.4%,24932,54.9%,-2.5pp
Okiba Salvage,B,U,55771,6.03,6826,9.08,10790,52.8%,1648,46.6%,2951,55.7%,4599,52.4%,6202,53.1%,-0.7pp
"Satsuki, the Living Lore",WG,R,10535,3.19,2413,3.75,7549,53.0%,1320,49.6%,1954,54.3%,3274,52.4%,4288,53.4%,-1.0pp
The Shattered States Era,R,C,167158,7.90,16524,11.71,12652,52.7%,1862,50.1%,2978,53.7%,4840,52.3%,7824,52.9%,-0.6pp
Spirit-Sister's Call,WB,M,4278,2.70,1315,2.89,3891,51.7%,615,48.0%,1094,54.6%,1709,52.2%,2184,51.3%,0.9pp
Asari Captain,WR,U,48913,5.35,5965,7.71,16545,51.7%,2695,50.8%,4092,53.1%,6787,52.2%,9812,51.5%,0.7pp
Light the Way,W,C,155797,8.05,15043,12.01,9725,52.5%,1508,49.7%,2519,53.6%,4027,52.1%,5708,52.8%,-0.6pp
"Heiko Yamazaki, the General",R,U,38408,3.89,7143,5.04,30886,52.8%,5056,50.1%,7590,53.4%,12646,52.1%,18330,53.3%,-1.2pp
Guardians of Oboro,U,C,156254,8.29,18197,11.88,16027,51.5%,2845,49.6%,4587,53.6%,7432,52.0%,8656,51.1%,0.9pp
Kitsune Ace,W,C,145483,7.01,14395,10.51,23326,51.7%,4241,51.8%,5780,52.1%,10021,51.9%,13438,51.6%,0.3pp
Dragonfly Suit,W,C,143033,6.65,13749,10.12,25217,51.9%,4176,50.7%,6650,52.7%,10826,51.9%,14503,51.9%,0.0pp
Peerless Samurai,R,C,145789,7.07,15792,10.33,35380,52.4%,6224,52.3%,8417,51.5%,14641,51.9%,20922,52.7%,-0.8pp
Go-Shintai of Ancient Wars,R,U,39613,4.01,7742,5.22,28216,52.3%,4843,50.6%,7232,52.4%,12075,51.7%,16237,52.8%,-1.1pp
Crackling Emergence,R,C,155225,8.64,15258,12.57,7234,52.7%,1338,50.7%,1638,52.3%,2976,51.5%,4283,53.5%,-2.0pp
Imperial Subduer,W,C,138023,6.17,14885,9.14,41456,52.0%,7307,50.3%,10347,52.4%,17654,51.5%,24063,52.3%,-0.8pp
"Light-Paws, Emperor's Voice",W,R,11299,3.34,1703,4.42,2403,52.3%,415,51.3%,596,51.5%,1011,51.4%,1398,53.0%,-1.6pp
Gift of Wrath,R,C,155399,8.44,15607,12.29,9059,52.0%,1399,50.8%,2149,51.7%,3548,51.3%,5525,52.5%,-1.2pp
Akki Ronin,R,C,153468,8.01,16933,11.49,25359,52.1%,4582,53.0%,5875,49.9%,10457,51.3%,15013,52.7%,-1.4pp
Malicious Malfunction,B,U,51753,5.51,6065,8.23,9270,51.4%,1613,49.2%,2509,52.4%,4122,51.1%,5159,51.7%,-0.5pp
Heir of the Ancient Fang,G,C,150810,7.45,17863,10.89,28215,52.6%,4861,50.2%,6776,51.4%,11637,50.9%,16705,53.8%,-2.9pp
Automated Artificer,,C,153274,7.57,17168,10.99,25401,51.5%,4644,49.5%,6766,51.7%,11410,50.9%,14122,52.0%,-1.1pp
March of Reckless Joy,R,R,15168,4.37,2551,5.92,5467,53.2%,896,46.7%,1329,53.3%,2225,50.7%,3245,54.9%,-4.2pp
Spell Pierce,U,C,156321,8.72,15464,12.82,4525,50.7%,779,49.2%,1244,51.5%,2023,50.6%,2508,50.8%,-0.1pp
Ancestral Katana,W,C,145964,6.96,15316,10.23,27225,51.4%,4678,50.9%,6590,50.4%,11268,50.6%,16019,52.0%,-1.4pp
Ambitious Assault,R,C,158307,8.76,17502,12.40,11843,52.5%,1788,50.3%,2692,50.0%,4480,50.1%,7378,53.9%,-3.8pp
Mechtitan Core,,R,7202,2.19,2286,2.20,9131,50.5%,1522,46.8%,2500,52.0%,4022,50.0%,5118,50.9%,-0.9pp
Thundersteel Colossus,,C,148493,7.05,14317,10.76,17114,50.1%,2537,47.3%,4594,51.2%,7131,49.8%,10015,50.3%,-0.5pp
Dragonspark Reactor,R,U,45066,4.71,9125,5.92,36776,52.4%,6518,48.5%,9030,50.7%,15548,49.8%,21324,54.3%,-4.5pp
Discover the Impossible,U,U,64437,7.93,6938,11.74,1348,50.3%,227,46.7%,383,51.4%,610,49.7%,740,50.8%,-1.1pp
Reito Sentinel,,U,63270,7.17,6523,10.93,4054,49.9%,708,45.8%,1140,51.8%,1848,49.5%,2217,50.1%,-0.6pp
Kindled Fury,R,C,158846,9.13,17692,12.85,7037,52.0%,1109,50.4%,1556,48.8%,2665,49.5%,4377,53.6%,-4.1pp
Awakened Awareness,U,U,60736,6.93,6673,10.40,4800,48.8%,766,46.2%,1365,51.2%,2131,49.4%,2681,48.2%,1.2pp
Secluded Courtyard,,U,63217,7.33,6854,11.02,5977,50.0%,1031,49.5%,1470,49.3%,2501,49.3%,3481,50.5%,-1.2pp
Dramatist's Puppet,,C,159636,8.70,16981,12.50,3399,49.5%,529,49.7%,873,49.0%,1402,49.3%,2006,49.7%,-0.4pp
Reality Heist,U,U,60976,7.17,7890,10.32,8801,50.4%,1385,46.4%,2426,50.7%,3811,49.1%,5007,51.3%,-2.1pp
Futurist Sentinel,U,C,151791,7.82,14738,11.75,11031,49.2%,1839,45.6%,3142,51.1%,4981,49.0%,6078,49.3%,-0.2pp
Eiganjo Uprising,WR,R,14842,4.40,2307,6.10,4185,49.7%,671,44.4%,993,52.0%,1664,48.9%,2527,50.3%,-1.4pp
Mech Hangar,,U,61796,7.18,6242,10.92,6549,49.7%,1090,47.4%,1694,49.4%,2784,48.6%,3776,50.6%,-1.9pp
Enormous Energy Blade,B,U,61875,7.29,6605,11.05,3412,51.4%,518,46.9%,896,47.9%,1414,47.5%,1999,54.2%,-6.7pp
"Isshin, Two Heavens as One",WBR,R,11753,3.56,1942,4.60,2866,45.9%,442,47.7%,674,46.3%,1116,46.9%,1752,45.4%,1.5pp
Anchor to Reality,U,U,62165,7.62,7032,11.25,2834,47.6%,465,44.1%,784,48.2%,1249,46.7%,1586,48.2%,-1.6pp
Bronze Cudgels,,U,64713,7.74,6718,11.59,2293,48.9%,384,43.2%,548,48.4%,932,46.2%,1363,50.7%,-4.5pp
Reckoner Shakedown,B,C,157646,8.72,15913,12.76,2457,47.8%,379,45.9%,614,45.8%,993,45.8%,1471,49.1%,-3.3pp
Invoke Calamity,R,R,17064,4.86,2300,7.20,665,,104,,174,,278,45.3%,387,49.6%,-4.3pp
Akki War Paint,R,C,157893,9.10,15429,13.17,3349,49.4%,506,44.9%,795,45.4%,1301,45.2%,2049,52.1%,-6.9pp
Hidetsugu Consumes All,BR,M,4416,2.78,926,3.19,1415,49.1%,230,44.8%,318,45.3%,548,45.1%,871,51.4%,-6.4pp
Mirror Box,,R,16645,4.77,1964,7.59,359,,56,,96,,152,,207,46.4%,
March of Burgeoning Life,G,R,18706,5.36,2317,8.21,226,,38,,56,,94,,132,,
