Name,Color,Rarity,# GIH,GIH WR
Akki Ember-Keeper,R,C,21181,52.6%
Kitsune Ace,W,C,12197,52.5%
Runaway Trash-Bot,,U,19002,52.4%
Guardians of Oboro,U,C,8859,52.3%
Undercity Scrounger,B,C,37538,52.3%
Orochi Merge-Keeper,G,U,18051,52.3%
Coiling Stalker,G,C,28522,52.1%
"Heiko Yamazaki, the General",R,U,15713,52.0%
Asari Captain,WR,U,8111,52.0%
"Light-Paws, Emperor's Voice",W,R,1230,52.0%
Dragonfly Suit,W,C,12850,51.9%
Tempered in Solitude,R,U,10439,51.9%
Imperial Subduer,W,C,21329,51.9%
Go-Shintai of Ancient Wars,R,U,15189,51.8%
Peerless Samurai,R,C,17239,51.8%
Gift of Wrath,R,C,4476,51.4%
Akki Ronin,R,C,12353,51.1%
Malicious Malfunction,B,U,4916,51.1%
Crackling Emergence,R,C,3539,50.8%
Spell Pierce,U,C,2653,50.8%
Reito Sentinel,,U,2506,50.7%
March of Reckless Joy,R,R,2724,50.7%
Ambitious Assault,R,C,5943,50.5%
Automated Artificer,,C,13901,50.5%
Heir of the Ancient Fang,G,C,13444,50.5%
Mechtitan Core,,R,5412,50.4%
Ancestral Katana,W,C,13329,50.3%
Thundersteel Colossus,,C,8829,50.2%
Dragonspark Reactor,R,U,19281,50.2%
Awakened Awareness,U,U,2429,49.7%
Mech Hangar,,U,3402,49.4%
Secluded Courtyard,,U,3110,49.3%
Discover the Impossible,U,U,718,49.2%
Kindled Fury,R,C,3189,49.1%
Reality Heist,U,U,4514,49.1%
Futurist Sentinel,U,C,5794,49.1%
Dramatist's Puppet,,C,1637,48.9%
Eiganjo Uprising,WR,R,2006,48.6%
Hidetsugu Consumes All,BR,M,760,47.9%
"Isshin, Two Heavens as One",WBR,R,1386,47.8%
Anchor to Reality,U,U,1485,47.3%
Enormous Energy Blade,B,U,1689,46.7%
Bronze Cudgels,,U,1101,46.3%
Invoke Calamity,R,R,339,46.0%
Reckoner Shakedown,B,C,1174,45.9%
Akki War Paint,R,C,1597,45.8%
Mirror Box,,R,183,
March of Burgeoning Life,G,R,116,
